N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
113,신세계,"229,000","2,500",-1.08%,"5,000","22,545","9,845",27.81,"31,596",5.57,8.54,
114,KODEX 200선물인버스2X,"3,645",0,0.00%,0,"22,358","613,400",4.10,"174,804,917",N/A,N/A,
115,KCC,"242,000","3,500",-1.43%,"5,000","21,505","8,886",10.92,"9,190",-8.47,-0.92,
116,에스원,"56,400",100,-0.18%,500,"21,432","37,999",53.36,"52,931",17.46,9.13,
117,한미사이언스,"30,900",250,+0.82%,500,"21,205","68,624",2.40,"68,716",41.15,6.37,
118,한화시스템,"11,050",400,+3.76%,"5,000","20,876","188,919",3.36,"814,589",112.76,6.04,
119,BNK금융지주,"6,370",50,+0.79%,"5,000","20,762","325,935",35.93,"963,546",2.51,8.76,
120,CJ,"71,000",200,-0.28%,"5,000","20,716","29,177",17.59,"16,551",7.82,5.66,
121,아모레G,"25,100",100,+0.40%,500,"20,697","82,458",14.71,"162,154",56.28,5.49,
122,LG화학우,"267,500",500,+0.19%,"5,000","20,568","7,689",70.54,"4,425",9.43,N/A,
123,TIGER 미국나스닥100,"69,300","1,630",-2.30%,0,"20,360","29,380",0.20,"154,665",N/A,N/A,
124,키움증권,"77,400",600,+0.78%,"5,000","20,294","26,220",24.66,"24,247",3.35,25.38,
125,KODEX 레버리지,"12,475",5,-0.04%,0,"20,097","161,100",0.10,"25,069,463",N/A,N/A,
126,HL만도,"42,300",100,+0.24%,"1,000","19,863","46,957",21.41,"117,009",18.84,9.31,
127,동서,"19,850",150,-0.75%,500,"19,790","99,700",3.15,"27,889",17.05,8.05,
128,영원무역,"44,050",350,+0.80%,500,"19,519","44,311",29.09,"56,058",4.27,14.71,
129,한솔케미칼,"171,500",500,+0.29%,"5,000","19,440","11,335",38.49,"24,740",12.82,23.88,
130,대우조선해양,"18,100",50,-0.28%,"5,000","19,420","107,291",2.45,"438,083",-1.73,-55.86,
131,LS,"60,300",300,-0.50%,"5,000","19,417","32,200",13.90,"84,334",6.05,8.15,
132,GS건설,"22,650",350,-1.52%,"5,000","19,384","85,581",32.98,"618,986",4.00,9.32,
